"age","unit","sex","country","date","value"
"TOTAL","thousands_people","M","Italy",2011-09-01,1087
"TOTAL","thousands_people","M","Italy",2011-08-01,842
"TOTAL","thousands_people","M","Italy",2011-07-01,925
"TOTAL","thousands_people","M","Italy",2011-06-01,933
"TOTAL","thousands_people","M","Italy",2011-05-01,1055
"TOTAL","thousands_people","M","Italy",2011-04-01,1013
"TOTAL","thousands_people","M","Italy",2011-03-01,1134
"TOTAL","thousands_people","M","Italy",2011-02-01,1150
"TOTAL","thousands_people","M","Italy",2011-01-01,1101
"TOTAL","thousands_people","M","Italy",2010-12-01,1109
"TOTAL","thousands_people","M","Italy",2010-11-01,1117
"TOTAL","thousands_people","M","Italy",2010-10-01,1121
"TOTAL","thousands_people","M","Italy",2010-09-01,1006
"TOTAL","thousands_people","M","Italy",2010-08-01,916
"TOTAL","thousands_people","M","Italy",2010-07-01,958
"TOTAL","thousands_people","M","Italy",2010-06-01,1031
"TOTAL","thousands_people","M","Italy",2010-05-01,1066
"TOTAL","thousands_people","M","Italy",2010-04-01,1192
"TOTAL","thousands_people","M","Italy",2010-03-01,1124
"TOTAL","thousands_people","M","Italy",2010-02-01,1210
"TOTAL","thousands_people","M","Italy",2010-01-01,1177
"TOTAL","thousands_people","M","Japan",2020-06-01,NA
"TOTAL","thousands_people","M","Japan",2020-05-01,1190
"TOTAL","thousands_people","M","Japan",2020-04-01,1140
"TOTAL","thousands_people","M","Japan",2020-03-01,1070
"TOTAL","thousands_people","M","Japan",2020-02-01,960
"TOTAL","thousands_people","M","Japan",2020-01-01,910
"TOTAL","thousands_people","M","Japan",2019-12-01,880
"TOTAL","thousands_people","M","Japan",2019-11-01,890
"TOTAL","thousands_people","M","Japan",2019-10-01,980
"TOTAL","thousands_people","M","Japan",2019-09-01,1000
"TOTAL","thousands_people","M","Japan",2019-08-01,940
"TOTAL","thousands_people","M","Japan",2019-07-01,930
"TOTAL","thousands_people","M","Japan",2019-06-01,970
"TOTAL","thousands_people","M","Japan",2019-05-01,950
"TOTAL","thousands_people","M","Japan",2019-04-01,990
"TOTAL","thousands_people","M","Japan",2019-03-01,1060
"TOTAL","thousands_people","M","Japan",2019-02-01,930
"TOTAL","thousands_people","M","Japan",2019-01-01,950
"TOTAL","thousands_people","M","Japan",2018-12-01,960
"TOTAL","thousands_people","M","Japan",2018-11-01,1010
"TOTAL","thousands_people","M","Japan",2018-10-01,1010
"TOTAL","thousands_people","M","Japan",2018-09-01,940
"TOTAL","thousands_people","M","Japan",2018-08-01,1000
"TOTAL","thousands_people","M","Japan",2018-07-01,1040
"TOTAL","thousands_people","M","Japan",2018-06-01,970
"TOTAL","thousands_people","M","Japan",2018-05-01,910
"TOTAL","thousands_people","M","Japan",2018-04-01,1080
"TOTAL","thousands_people","M","Japan",2018-03-01,1030
"TOTAL","thousands_people","M","Japan",2018-02-01,990
"TOTAL","thousands_people","M","Japan",2018-01-01,960
"TOTAL","thousands_people","M","Japan",2017-12-01,1030
"TOTAL","thousands_people","M","Japan",2017-11-01,1060
"TOTAL","thousands_people","M","Japan",2017-10-01,1080
"TOTAL","thousands_people","M","Japan",2017-09-01,1110
"TOTAL","thousands_people","M","Japan",2017-08-01,1140
"TOTAL","thousands_people","M","Japan",2017-07-01,1170
"TOTAL","thousands_people","M","Japan",2017-06-01,1080
"TOTAL","thousands_people","M","Japan",2017-05-01,1200
"TOTAL","thousands_people","M","Japan",2017-04-01,1110
"TOTAL","thousands_people","M","Japan",2017-03-01,1110
"TOTAL","thousands_people","M","Japan",2017-02-01,1150
"TOTAL","thousands_people","M","Japan",2017-01-01,1210
"TOTAL","thousands_people","M","Japan",2016-12-01,1220
"TOTAL","thousands_people","M","Japan",2016-11-01,1180
"TOTAL","thousands_people","M","Japan",2016-10-01,1200
"TOTAL","thousands_people","M","Japan",2016-09-01,1270
"TOTAL","thousands_people","M","Japan",2016-08-01,1310
"TOTAL","thousands_people","M","Japan",2016-07-01,1220
"TOTAL","thousands_people","M","Japan",2016-06-01,1190
"TOTAL","thousands_people","M","Japan",2016-05-01,1260
"TOTAL","thousands_people","M","Japan",2016-04-01,1300
"TOTAL","thousands_people","M","Japan",2016-03-01,1320
"TOTAL","thousands_people","M","Japan",2016-02-01,1340
"TOTAL","thousands_people","M","Japan",2016-01-01,1300
"TOTAL","thousands_people","M","Japan",2015-12-01,1290
"TOTAL","thousands_people","M","Japan",2015-11-01,1270
"TOTAL","thousands_people","M","Japan",2015-10-01,1300
"TOTAL","thousands_people","M","Japan",2015-09-01,1380
"TOTAL","thousands_people","M","Japan",2015-08-01,1350
"TOTAL","thousands_people","M","Japan",2015-07-01,1330
"TOTAL","thousands_people","M","Japan",2015-06-01,1340
"TOTAL","thousands_people","M","Japan",2015-05-01,1320
"TOTAL","thousands_people","M","Japan",2015-04-01,1350
"TOTAL","thousands_people","M","Japan",2015-03-01,1420
"TOTAL","thousands_people","M","Japan",2015-02-01,1380
"TOTAL","thousands_people","M","Japan",2015-01-01,1430
"TOTAL","thousands_people","M","Japan",2014-12-01,1280
"TOTAL","thousands_people","M","Japan",2014-11-01,1360
"TOTAL","thousands_people","M","Japan",2014-10-01,1430
"TOTAL","thousands_people","M","Japan",2014-09-01,1400
"TOTAL","thousands_people","M","Japan",2014-08-01,1420
"TOTAL","thousands_people","M","Japan",2014-07-01,1460
"TOTAL","thousands_people","M","Japan",2014-06-01,1440
"TOTAL","thousands_people","M","Japan",2014-05-01,1390
"TOTAL","thousands_people","M","Japan",2014-04-01,1510
"TOTAL","thousands_people","M","Japan",2014-03-01,1500
"TOTAL","thousands_people","M","Japan",2014-02-01,1410
"TOTAL","thousands_people","M","Japan",2014-01-01,1460
"TOTAL","thousands_people","M","Japan",2013-12-01,1370
"TOTAL","thousands_people","M","Japan",2013-11-01,1510
"TOTAL","thousands_people","M","Japan",2013-10-01,1600
"TOTAL","thousands_people","M","Japan",2013-09-01,1610
"TOTAL","thousands_people","M","Japan",2013-08-01,1670
"TOTAL","thousands_people","M","Japan",2013-07-01,1630
"TOTAL","thousands_people","M","Japan",2013-06-01,1590
"TOTAL","thousands_people","M","Japan",2013-05-01,1630
"TOTAL","thousands_people","M","Japan",2013-04-01,1750
"TOTAL","thousands_people","M","Japan",2013-03-01,1810
"TOTAL","thousands_people","M","Japan",2013-02-01,1710
"TOTAL","thousands_people","M","Japan",2013-01-01,1720
"TOTAL","thousands_people","M","Japan",2012-12-01,1610
"TOTAL","thousands_people","M","Japan",2012-11-01,1590
"TOTAL","thousands_people","M","Japan",2012-10-01,1620
"TOTAL","thousands_people","M","Japan",2012-09-01,1680
"TOTAL","thousands_people","M","Japan",2012-08-01,1680
"TOTAL","thousands_people","M","Japan",2012-07-01,1760
"TOTAL","thousands_people","M","Japan",2012-06-01,1730
"TOTAL","thousands_people","M","Japan",2012-05-01,1740
"TOTAL","thousands_people","M","Japan",2012-04-01,1910
"TOTAL","thousands_people","M","Japan",2012-03-01,1900
"TOTAL","thousands_people","M","Japan",2012-02-01,1770
"TOTAL","thousands_people","M","Japan",2012-01-01,1790
"TOTAL","thousands_people","M","Japan",2011-12-01,1770
"TOTAL","thousands_people","M","Japan",2011-11-01,1750
"TOTAL","thousands_people","M","Japan",2011-10-01,1800
"TOTAL","thousands_people","M","Japan",2011-09-01,1710
"TOTAL","thousands_people","M","Japan",2011-08-01,1760
"TOTAL","thousands_people","M","Japan",2011-07-01,1930
"TOTAL","thousands_people","M","Japan",2011-06-01,1890
"TOTAL","thousands_people","M","Japan",2011-05-01,1920
"TOTAL","thousands_people","M","Japan",2011-04-01,2040
"TOTAL","thousands_people","M","Japan",2011-03-01,NA
"TOTAL","thousands_people","M","Japan",2011-02-01,1870
"TOTAL","thousands_people","M","Japan",2011-01-01,1970
"TOTAL","thousands_people","M","Japan",2010-12-01,1900
"TOTAL","thousands_people","M","Japan",2010-11-01,1990
"TOTAL","thousands_people","M","Japan",2010-10-01,2070
"TOTAL","thousands_people","M","Japan",2010-09-01,2120
"TOTAL","thousands_people","M","Japan",2010-08-01,2030
"TOTAL","thousands_people","M","Japan",2010-07-01,2070
"TOTAL","thousands_people","M","Japan",2010-06-01,2130
"TOTAL","thousands_people","M","Japan",2010-05-01,2130
"TOTAL","thousands_people","M","Japan",2010-04-01,2170
"TOTAL","thousands_people","M","Japan",2010-03-01,2210
"TOTAL","thousands_people","M","Japan",2010-02-01,2050
"TOTAL","thousands_people","M","Japan",2010-01-01,1990
"TOTAL","thousands_people","M","Lithuania",2020-06-01,85
"TOTAL","thousands_people","M","Lithuania",2020-05-01,83
"TOTAL","thousands_people","M","Lithuania",2020-04-01,77
"TOTAL","thousands_people","M","Lithuania",2020-03-01,63
"TOTAL","thousands_people","M","Lithuania",2020-02-01,60
"TOTAL","thousands_people","M","Lithuania",2020-01-01,58
"TOTAL","thousands_people","M","Lithuania",2019-12-01,59
"TOTAL","thousands_people","M","Lithuania",2019-11-01,54
"TOTAL","thousands_people","M","Lithuania",2019-10-01,49
"TOTAL","thousands_people","M","Lithuania",2019-09-01,52
"TOTAL","thousands_people","M","Lithuania",2019-08-01,52
"TOTAL","thousands_people","M","Lithuania",2019-07-01,49
"TOTAL","thousands_people","M","Lithuania",2019-06-01,53
"TOTAL","thousands_people","M","Lithuania",2019-05-01,49
"TOTAL","thousands_people","M","Lithuania",2019-04-01,48
"TOTAL","thousands_people","M","Lithuania",2019-03-01,51
"TOTAL","thousands_people","M","Lithuania",2019-02-01,51
"TOTAL","thousands_people","M","Lithuania",2019-01-01,51
"TOTAL","thousands_people","M","Lithuania",2018-12-01,54
"TOTAL","thousands_people","M","Lithuania",2018-11-01,45
"TOTAL","thousands_people","M","Lithuania",2018-10-01,42
"TOTAL","thousands_people","M","Lithuania",2018-09-01,45
"TOTAL","thousands_people","M","Lithuania",2018-08-01,44
"TOTAL","thousands_people","M","Lithuania",2018-07-01,44
"TOTAL","thousands_people","M","Lithuania",2018-06-01,47
"TOTAL","thousands_people","M","Lithuania",2018-05-01,44
"TOTAL","thousands_people","M","Lithuania",2018-04-01,51
"TOTAL","thousands_people","M","Lithuania",2018-03-01,64
"TOTAL","thousands_people","M","Lithuania",2018-02-01,62
"TOTAL","thousands_people","M","Lithuania",2018-01-01,61
"TOTAL","thousands_people","M","Lithuania",2017-12-01,63
"TOTAL","thousands_people","M","Lithuania",2017-11-01,53
"TOTAL","thousands_people","M","Lithuania",2017-10-01,50
"TOTAL","thousands_people","M","Lithuania",2017-09-01,55
"TOTAL","thousands_people","M","Lithuania",2017-08-01,54
"TOTAL","thousands_people","M","Lithuania",2017-07-01,56
"TOTAL","thousands_people","M","Lithuania",2017-06-01,61
"TOTAL","thousands_people","M","Lithuania",2017-05-01,60
"TOTAL","thousands_people","M","Lithuania",2017-04-01,65
"TOTAL","thousands_people","M","Lithuania",2017-03-01,72
"TOTAL","thousands_people","M","Lithuania",2017-02-01,74
"TOTAL","thousands_people","M","Lithuania",2017-01-01,72
"TOTAL","thousands_people","M","Lithuania",2016-12-01,72
"TOTAL","thousands_people","M","Lithuania",2016-11-01,62
"TOTAL","thousands_people","M","Lithuania",2016-10-01,58
"TOTAL","thousands_people","M","Lithuania",2016-09-01,60
"TOTAL","thousands_people","M","Lithuania",2016-08-01,61
"TOTAL","thousands_people","M","Lithuania",2016-07-01,66
"TOTAL","thousands_people","M","Lithuania",2016-06-01,70
"TOTAL","thousands_people","M","Lithuania",2016-05-01,70
"TOTAL","thousands_people","M","Lithuania",2016-04-01,69
"TOTAL","thousands_people","M","Lithuania",2016-03-01,68
"TOTAL","thousands_people","M","Lithuania",2016-02-01,69
"TOTAL","thousands_people","M","Lithuania",2016-01-01,71
"TOTAL","thousands_people","M","Lithuania",2015-12-01,74
"TOTAL","thousands_people","M","Lithuania",2015-11-01,67
"TOTAL","thousands_people","M","Lithuania",2015-10-01,65
"TOTAL","thousands_people","M","Lithuania",2015-09-01,64
"TOTAL","thousands_people","M","Lithuania",2015-08-01,65
"TOTAL","thousands_people","M","Lithuania",2015-07-01,69
"TOTAL","thousands_people","M","Lithuania",2015-06-01,80
"TOTAL","thousands_people","M","Lithuania",2015-05-01,78
"TOTAL","thousands_people","M","Lithuania",2015-04-01,78
"TOTAL","thousands_people","M","Lithuania",2015-03-01,77
"TOTAL","thousands_people","M","Lithuania",2015-02-01,81
"TOTAL","thousands_people","M","Lithuania",2015-01-01,84
"TOTAL","thousands_people","M","Lithuania",2014-12-01,90
"TOTAL","thousands_people","M","Lithuania",2014-11-01,82
"TOTAL","thousands_people","M","Lithuania",2014-10-01,75
"TOTAL","thousands_people","M","Lithuania",2014-09-01,73
"TOTAL","thousands_people","M","Lithuania",2014-08-01,78
"TOTAL","thousands_people","M","Lithuania",2014-07-01,81
"TOTAL","thousands_people","M","Lithuania",2014-06-01,94
"TOTAL","thousands_people","M","Lithuania",2014-05-01,98
"TOTAL","thousands_people","M","Lithuania",2014-04-01,99
"TOTAL","thousands_people","M","Lithuania",2014-03-01,101
"TOTAL","thousands_people","M","Lithuania",2014-02-01,104
"TOTAL","thousands_people","M","Lithuania",2014-01-01,103
"TOTAL","thousands_people","M","Lithuania",2013-12-01,99
"TOTAL","thousands_people","M","Lithuania",2013-11-01,91
"TOTAL","thousands_people","M","Lithuania",2013-10-01,83
"TOTAL","thousands_people","M","Lithuania",2013-09-01,85
"TOTAL","thousands_people","M","Lithuania",2013-08-01,87
"TOTAL","thousands_people","M","Lithuania",2013-07-01,87
"TOTAL","thousands_people","M","Lithuania",2013-06-01,95
"TOTAL","thousands_people","M","Lithuania",2013-05-01,95
"TOTAL","thousands_people","M","Lithuania",2013-04-01,103
"TOTAL","thousands_people","M","Lithuania",2013-03-01,108
"TOTAL","thousands_people","M","Lithuania",2013-02-01,107
"TOTAL","thousands_people","M","Lithuania",2013-01-01,108
"TOTAL","thousands_people","M","Lithuania",2012-12-01,105
"TOTAL","thousands_people","M","Lithuania",2012-11-01,105
"TOTAL","thousands_people","M","Lithuania",2012-10-01,102
"TOTAL","thousands_people","M","Lithuania",2012-09-01,104
"TOTAL","thousands_people","M","Lithuania",2012-08-01,106
"TOTAL","thousands_people","M","Lithuania",2012-07-01,108
"TOTAL","thousands_people","M","Lithuania",2012-06-01,110
"TOTAL","thousands_people","M","Lithuania",2012-05-01,112
"TOTAL","thousands_people","M","Lithuania",2012-04-01,118
"TOTAL","thousands_people","M","Lithuania",2012-03-01,122
"TOTAL","thousands_people","M","Lithuania",2012-02-01,119
"TOTAL","thousands_people","M","Lithuania",2012-01-01,117
"TOTAL","thousands_people","M","Lithuania",2011-12-01,114
"TOTAL","thousands_people","M","Lithuania",2011-11-01,110
"TOTAL","thousands_people","M","Lithuania",2011-10-01,113
"TOTAL","thousands_people","M","Lithuania",2011-09-01,118
"TOTAL","thousands_people","M","Lithuania",2011-08-01,124
"TOTAL","thousands_people","M","Lithuania",2011-07-01,130
"TOTAL","thousands_people","M","Lithuania",2011-06-01,131
"TOTAL","thousands_people","M","Lithuania",2011-05-01,138
"TOTAL","thousands_people","M","Lithuania",2011-04-01,147
"TOTAL","thousands_people","M","Lithuania",2011-03-01,151
"TOTAL","thousands_people","M","Lithuania",2011-02-01,152
"TOTAL","thousands_people","M","Lithuania",2011-01-01,151
"TOTAL","thousands_people","M","Lithuania",2010-12-01,150
"TOTAL","thousands_people","M","Lithuania",2010-11-01,143
"TOTAL","thousands_people","M","Lithuania",2010-10-01,145
"TOTAL","thousands_people","M","Lithuania",2010-09-01,146
"TOTAL","thousands_people","M","Lithuania",2010-08-01,152
"TOTAL","thousands_people","M","Lithuania",2010-07-01,159
"TOTAL","thousands_people","M","Lithuania",2010-06-01,160
"TOTAL","thousands_people","M","Lithuania",2010-05-01,165
"TOTAL","thousands_people","M","Lithuania",2010-04-01,171
"TOTAL","thousands_people","M","Lithuania",2010-03-01,170
"TOTAL","thousands_people","M","Lithuania",2010-02-01,173
"TOTAL","thousands_people","M","Lithuania",2010-01-01,172
"TOTAL","thousands_people","M","Luxembourg",2020-06-01,12
"TOTAL","thousands_people","M","Luxembourg",2020-05-01,13
"TOTAL","thousands_people","M","Luxembourg",2020-04-01,13
"TOTAL","thousands_people","M","Luxembourg",2020-03-01,12
"TOTAL","thousands_people","M","Luxembourg",2020-02-01,10
"TOTAL","thousands_people","M","Luxembourg",2020-01-01,10
"TOTAL","thousands_people","M","Luxembourg",2019-12-01,10
"TOTAL","thousands_people","M","Luxembourg",2019-11-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-10-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-09-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-08-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-07-01,10
"TOTAL","thousands_people","M","Luxembourg",2019-06-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-05-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-04-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-03-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-02-01,9
"TOTAL","thousands_people","M","Luxembourg",2019-01-01,9
"TOTAL","thousands_people","M","Luxembourg",2018-12-01,9
"TOTAL","thousands_people","M","Luxembourg",2018-11-01,9
"TOTAL","thousands_people","M","Luxembourg",2018-10-01,9
"TOTAL","thousands_people","M","Luxembourg",2018-09-01,8
"TOTAL","thousands_people","M","Luxembourg",2018-08-01,9
"TOTAL","thousands_people","M","Luxembourg",2018-07-01,9
"TOTAL","thousands_people","M","Luxembourg",2018-06-01,8
"TOTAL","thousands_people","M","Luxembourg",2018-05-01,8
"TOTAL","thousands_people","M","Luxembourg",2018-04-01,8
"TOTAL","thousands_people","M","Luxembourg",2018-03-01,8
"TOTAL","thousands_people","M","Luxembourg",2018-02-01,9
"TOTAL","thousands_people","M","Luxembourg",2018-01-01,9
"TOTAL","thousands_people","M","Luxembourg",2017-12-01,9
"TOTAL","thousands_people","M","Luxembourg",2017-11-01,8
"TOTAL","thousands_people","M","Luxembourg",2017-10-01,8
"TOTAL","thousands_people","M","Luxembourg",2017-09-01,8
"TOTAL","thousands_people","M","Luxembourg",2017-08-01,8
"TOTAL","thousands_people","M","Luxembourg",2017-07-01,9
"TOTAL","thousands_people","M","Luxembourg",2017-06-01,8
"TOTAL","thousands_people","M","Luxembourg",2017-05-01,8
"TOTAL","thousands_people","M","Luxembourg",2017-04-01,9
"TOTAL","thousands_people","M","Luxembourg",2017-03-01,9
"TOTAL","thousands_people","M","Luxembourg",2017-02-01,10
"TOTAL","thousands_people","M","Luxembourg",2017-01-01,10
"TOTAL","thousands_people","M","Luxembourg",2016-12-01,11
"TOTAL","thousands_people","M","Luxembourg",2016-11-01,10
"TOTAL","thousands_people","M","Luxembourg",2016-10-01,10
"TOTAL","thousands_people","M","Luxembourg",2016-09-01,9
"TOTAL","thousands_people","M","Luxembourg",2016-08-01,9
"TOTAL","thousands_people","M","Luxembourg",2016-07-01,9
"TOTAL","thousands_people","M","Luxembourg",2016-06-01,8
"TOTAL","thousands_people","M","Luxembourg",2016-05-01,9
"TOTAL","thousands_people","M","Luxembourg",2016-04-01,9
"TOTAL","thousands_people","M","Luxembourg",2016-03-01,9
"TOTAL","thousands_people","M","Luxembourg",2016-02-01,10
"TOTAL","thousands_people","M","Luxembourg",2016-01-01,10
"TOTAL","thousands_people","M","Luxembourg",2015-12-01,10
"TOTAL","thousands_people","M","Luxembourg",2015-11-01,9
"TOTAL","thousands_people","M","Luxembourg",2015-10-01,9
"TOTAL","thousands_people","M","Luxembourg",2015-09-01,9
"TOTAL","thousands_people","M","Luxembourg",2015-08-01,9
"TOTAL","thousands_people","M","Luxembourg",2015-07-01,9
"TOTAL","thousands_people","M","Luxembourg",2015-06-01,8
"TOTAL","thousands_people","M","Luxembourg",2015-05-01,8
"TOTAL","thousands_people","M","Luxembourg",2015-04-01,8
"TOTAL","thousands_people","M","Luxembourg",2015-03-01,9
"TOTAL","thousands_people","M","Luxembourg",2015-02-01,9
"TOTAL","thousands_people","M","Luxembourg",2015-01-01,9
"TOTAL","thousands_people","M","Luxembourg",2014-12-01,9
"TOTAL","thousands_people","M","Luxembourg",2014-11-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-10-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-09-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-08-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-07-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-06-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-05-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-04-01,8
"TOTAL","thousands_people","M","Luxembourg",2014-03-01,9
"TOTAL","thousands_people","M","Luxembourg",2014-02-01,9
"TOTAL","thousands_people","M","Luxembourg",2014-01-01,9
"TOTAL","thousands_people","M","Luxembourg",2013-12-01,10
"TOTAL","thousands_people","M","Luxembourg",2013-11-01,9
"TOTAL","thousands_people","M","Luxembourg",2013-10-01,8
"TOTAL","thousands_people","M","Luxembourg",2013-09-01,8
"TOTAL","thousands_people","M","Luxembourg",2013-08-01,8
"TOTAL","thousands_people","M","Luxembourg",2013-07-01,8
"TOTAL","thousands_people","M","Luxembourg",2013-06-01,7
"TOTAL","thousands_people","M","Luxembourg",2013-05-01,7
"TOTAL","thousands_people","M","Luxembourg",2013-04-01,7
"TOTAL","thousands_people","M","Luxembourg",2013-03-01,8
"TOTAL","thousands_people","M","Luxembourg",2013-02-01,8
"TOTAL","thousands_people","M","Luxembourg",2013-01-01,8
"TOTAL","thousands_people","M","Luxembourg",2012-12-01,7
"TOTAL","thousands_people","M","Luxembourg",2012-11-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-10-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-09-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-08-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-07-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-06-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-05-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-04-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-03-01,6
"TOTAL","thousands_people","M","Luxembourg",2012-02-01,7
"TOTAL","thousands_people","M","Luxembourg",2012-01-01,7
"TOTAL","thousands_people","M","Luxembourg",2011-12-01,6
"TOTAL","thousands_people","M","Luxembourg",2011-11-01,6
"TOTAL","thousands_people","M","Luxembourg",2011-10-01,6
"TOTAL","thousands_people","M","Luxembourg",2011-09-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-08-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-07-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-06-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-05-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-04-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-03-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-02-01,5
"TOTAL","thousands_people","M","Luxembourg",2011-01-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-12-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-11-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-10-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-09-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-08-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-07-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-06-01,4
"TOTAL","thousands_people","M","Luxembourg",2010-05-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-04-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-03-01,5
"TOTAL","thousands_people","M","Luxembourg",2010-02-01,6
"TOTAL","thousands_people","M","Luxembourg",2010-01-01,6
"TOTAL","thousands_people","M","Latvia",2020-06-01,52
"TOTAL","thousands_people","M","Latvia",2020-05-01,52
"TOTAL","thousands_people","M","Latvia",2020-04-01,50
"TOTAL","thousands_people","M","Latvia",2020-03-01,43
"TOTAL","thousands_people","M","Latvia",2020-02-01,41
"TOTAL","thousands_people","M","Latvia",2020-01-01,39
"TOTAL","thousands_people","M","Latvia",2019-12-01,35
"TOTAL","thousands_people","M","Latvia",2019-11-01,30
"TOTAL","thousands_people","M","Latvia",2019-10-01,28
"TOTAL","thousands_people","M","Latvia",2019-09-01,30
"TOTAL","thousands_people","M","Latvia",2019-08-01,32
"TOTAL","thousands_people","M","Latvia",2019-07-01,35
"TOTAL","thousands_people","M","Latvia",2019-06-01,38
"TOTAL","thousands_people","M","Latvia",2019-05-01,39
"TOTAL","thousands_people","M","Latvia",2019-04-01,39
"TOTAL","thousands_people","M","Latvia",2019-03-01,38
"TOTAL","thousands_people","M","Latvia",2019-02-01,38
"TOTAL","thousands_people","M","Latvia",2019-01-01,37
"TOTAL","thousands_people","M","Latvia",2018-12-01,37
"TOTAL","thousands_people","M","Latvia",2018-11-01,36
"TOTAL","thousands_people","M","Latvia",2018-10-01,36
"TOTAL","thousands_people","M","Latvia",2018-09-01,38
"TOTAL","thousands_people","M","Latvia",2018-08-01,39
"TOTAL","thousands_people","M","Latvia",2018-07-01,42
"TOTAL","thousands_people","M","Latvia",2018-06-01,44
"TOTAL","thousands_people","M","Latvia",2018-05-01,46
"TOTAL","thousands_people","M","Latvia",2018-04-01,46
"TOTAL","thousands_people","M","Latvia",2018-03-01,44
"TOTAL","thousands_people","M","Latvia",2018-02-01,43
"TOTAL","thousands_people","M","Latvia",2018-01-01,43
"TOTAL","thousands_people","M","Latvia",2017-12-01,44
"TOTAL","thousands_people","M","Latvia",2017-11-01,44
"TOTAL","thousands_people","M","Latvia",2017-10-01,44
"TOTAL","thousands_people","M","Latvia",2017-09-01,43
"TOTAL","thousands_people","M","Latvia",2017-08-01,44
"TOTAL","thousands_people","M","Latvia",2017-07-01,47
"TOTAL","thousands_people","M","Latvia",2017-06-01,49
"TOTAL","thousands_people","M","Latvia",2017-05-01,51
"TOTAL","thousands_people","M","Latvia",2017-04-01,51
"TOTAL","thousands_people","M","Latvia",2017-03-01,51
"TOTAL","thousands_people","M","Latvia",2017-02-01,51
"TOTAL","thousands_people","M","Latvia",2017-01-01,52
"TOTAL","thousands_people","M","Latvia",2016-12-01,53
"TOTAL","thousands_people","M","Latvia",2016-11-01,52
"TOTAL","thousands_people","M","Latvia",2016-10-01,52
"TOTAL","thousands_people","M","Latvia",2016-09-01,55
"TOTAL","thousands_people","M","Latvia",2016-08-01,56
"TOTAL","thousands_people","M","Latvia",2016-07-01,56
"TOTAL","thousands_people","M","Latvia",2016-06-01,53
"TOTAL","thousands_people","M","Latvia",2016-05-01,52
"TOTAL","thousands_people","M","Latvia",2016-04-01,52
"TOTAL","thousands_people","M","Latvia",2016-03-01,53
"TOTAL","thousands_people","M","Latvia",2016-02-01,54
"TOTAL","thousands_people","M","Latvia",2016-01-01,55
"TOTAL","thousands_people","M","Latvia",2015-12-01,55
"TOTAL","thousands_people","M","Latvia",2015-11-01,55
"TOTAL","thousands_people","M","Latvia",2015-10-01,55
"TOTAL","thousands_people","M","Latvia",2015-09-01,55
"TOTAL","thousands_people","M","Latvia",2015-08-01,55
"TOTAL","thousands_people","M","Latvia",2015-07-01,56
"TOTAL","thousands_people","M","Latvia",2015-06-01,57
"TOTAL","thousands_people","M","Latvia",2015-05-01,57
"TOTAL","thousands_people","M","Latvia",2015-04-01,57
"TOTAL","thousands_people","M","Latvia",2015-03-01,58
"TOTAL","thousands_people","M","Latvia",2015-02-01,54
"TOTAL","thousands_people","M","Latvia",2015-01-01,50
"TOTAL","thousands_people","M","Latvia",2014-12-01,51
"TOTAL","thousands_people","M","Latvia",2014-11-01,52
"TOTAL","thousands_people","M","Latvia",2014-10-01,53
"TOTAL","thousands_people","M","Latvia",2014-09-01,54
